dataset,M,rc,acc,params,returncode
CINIC10,2,False,64.1,1663436,0
CINIC10,2,True,65.16,1663756,0
CINIC10,3,False,64.27,1721809,0
CINIC10,3,True,65.38,1722289,0
CINIC10,4,False,64.42,1780182,0
CINIC10,4,True,65.45,1780822,0
