dataset,bit,acc,params,returncode
CINIC10,2,78.24,1546698,0
CINIC10,4,80.01,1546698,0
CINIC10,8,80.14,1546698,0
CINIC10,16,80.25,1546698,0
CINIC10,32,80.29,1546698,0
FashionMNIST,2,94.11,1546698,0
FashionMNIST,4,94.48,1546698,0
FashionMNIST,8,94.53,1546698,0
FashionMNIST,16,94.46,1546698,0
FashionMNIST,32,94.3,1546698,0
STL10,2,77.44,1546698,0
STL10,4,79.47,1546698,0
STL10,8,78.91,1546698,0
STL10,16,79.17,1546698,0
STL10,32,78.92,1546698,0
