config,seed,acc,rc
full_ft,2024,95.09449907805778,0
full_ft,2025,94.89474492931777,0
full_ft,2026,94.82944068838353,0
full_ft,2027,94.87169637369392,0
full_ft,2028,94.90242778119237,0
mars_m4,2024,79.94775660725261,0
mars_m4,2025,79.79409956976029,0
mars_m4,2026,79.5520897357099,0
mars_m4,2027,80.40488629379226,0
mars_m4,2028,79.96312231100184,0
