dataset,bit,mode,acc,params,returncode
CINIC10,1,adapter_rc,33.59,1605223,0
CINIC10,2,adapter_rc,32.25,1605231,0
CINIC10,4,adapter_rc,35.77,1605231,0
CINIC10,8,adapter_rc,35.8,1605231,0
