dataset,mode,M,rc,acc,params,returncode
CINIC10,adapter,1,True,0.0,1875410,1
CINIC10,adapter,2,True,0.0,2204130,1
CINIC10,adapter,3,True,36.84,2532850,0
CINIC10,adapter,4,True,39.7,2861570,0
