kernel,bit,acc,params,returncode
1,1,65.06,1621250,0
1,2,86.86,1621263,0
1,4,90.1,1621263,0
1,8,90.77,1621263,0
1,16,90.72,1621263,0
1,32,90.2,1621263,0
3,1,63.97,1875202,0
3,2,94.21,1875215,0
3,4,95.49,1875215,0
3,8,95.52,1875215,0
3,16,95.59,1875215,0
3,32,95.48,1875215,0
